"pais";"valor";"indicador"
"Ukraine";"23,3";"2010|Internet_por"
"Kuwait";"3100000";"2018|Facebook"
"Iraq";"2,5";"2010|Internet_por"
"Hong Kong SAR, China";"3408240";"2010|Facebook"
"Ireland";"1597000";"2010|Facebook"
"Kuwait";"99,59999254";"2018|Internet_por"
"Estonia";"227420";"2010|Facebook"
"Japan";"71000000";"2018|Facebook"
"United States";"71,69";"2010|Internet_por"
"Switzerland";"83,9";"2010|Internet_por"
"United States";"  309326  ";"2010|poblacion"
"Arab Rep. Egypt";"  82761  ";"2010|poblacion"
"Vietnam";"1019120";"2010|Facebook"
"Rwanda";"  10039  ";"2010|poblacion"
"Rwanda";"  12301  ";"2018|poblacion"
"Bahamas, The";"43";"2010|Internet_por"
"United Arab Emirates";"68";"2010|Internet_por"
"Mauritius";"58,5961697";"2018|Internet_por"
"Colombia";"29000000";"2018|Facebook"
"Italy";"  60431  ";"2018|poblacion"
"France";"77,28";"2010|Internet_por"
"United Kingdom";"  62766  ";"2010|poblacion"
"Qatar";"  2781  ";"2018|poblacion"
"Taiwan";"6745160";"2010|Facebook"
"Jordan";"27,2";"2010|Internet_por"
"Estonia";"74,1";"2010|Internet_por"
"Croatia";"1192160";"2010|Facebook"
"Iraq";"  38433  ";"2018|poblacion"
"Romania";"  19473  ";"2018|poblacion"
"United Kingdom";"85";"2010|Internet_por"
"Greece";"72,9520942";"2018|Internet_por"
"Bahrain";"98,64342901";"2018|Internet_por"
"Ukraine";"9500000";"2018|Facebook"
"Greece";"44,4";"2010|Internet_por"
"Slovak Republic";"75,71";"2010|Internet_por"
"Belgium";"3505920";"2010|Facebook"
"Indonesia";"39,78748305";"2018|Internet_por"
"Algeria";"  35977  ";"2010|poblacion"
"Spain";"86,10723553";"2018|Internet_por"
"Switzerland";"2234380";"2010|Facebook"
"United Kingdom";"44000000";"2018|Facebook"
"Mauritius";"28,33";"2010|Internet_por"
"Uzbekistan";"  28562  ";"2010|poblacion"
"Tunisia";"6400000";"2018|Facebook"
"Australia";"9009660";"2010|Facebook"
"Uganda";"2600000";"2018|Facebook"
"Bahrain";"55";"2010|Internet_por"
"Canada";"  34004  ";"2010|poblacion"
"Malta";"320000";"2018|Facebook"
"Morocco";"1849740";"2010|Facebook"
"Sweden";"  10183  ";"2018|poblacion"
"Finland";"88,88996";"2018|Internet_por"
"Finland";"86,89";"2010|Internet_por"
"Morocco";"52";"2010|Internet_por"
"Brazil";"  209469  ";"2018|poblacion"
"Korea, Rep.";"  49554  ";"2010|poblacion"
"Slovak Republic";"  5391  ";"2010|poblacion"
"India";"300000000";"2018|Facebook"
"Bangladesh";"  147575  ";"2010|poblacion"
"Uzbekistan";"15,9";"2010|Internet_por"
"India";"  1352617  ";"2018|poblacion"
"Slovak Republic";"80,66033556";"2018|Internet_por"
"Vietnam";"30,65";"2010|Internet_por"
"Uzbekistan";"52,3";"2018|Internet_por"
"Spain";"23000000";"2018|Facebook"
"Venezuela, RB";"13000000";"2018|Facebook"
"Turkey";"71,04276107";"2018|Internet_por"
"Mexico";"65,77263448";"2018|Internet_por"
"Bangladesh";"  161356  ";"2018|poblacion"
"Egypt, Arab Rep.";"46,92433809";"2018|Internet_por"
"Sweden";"  9378  ";"2010|poblacion"
"Spain";"  46576  ";"2010|poblacion"
"China";"  1337705  ";"2010|poblacion"
"Tunisia";"64,19081023";"2018|Internet_por"
"Germany";"  81776  ";"2010|poblacion"
"Colombia";"  49648  ";"2018|poblacion"
"China";"  1392730  ";"2018|poblacion"
"Italy";"16647260";"2010|Facebook"
"South Africa";"  51216  ";"2010|poblacion"
"United Arab Emirates";"  9630  ";"2018|poblacion"
"United States";"88";"2018|Internet_por"
"Qatar";"69";"2010|Internet_por"
"United Kingdom";"  66488  ";"2018|poblacion"
"Chile";"13000000";"2018|Facebook"
"Saudi Arabia";"  33699  ";"2018|poblacion"
"Slovenia";"79,7499766";"2018|Internet_por"
"Australia";"  22031  ";"2010|poblacion"
"Mexico";"12978440";"2010|Facebook"
"Turkey";"22552540";"2010|Facebook"
"Uzbekistan";"800000";"2018|Facebook"
"Mexico";"  114092  ";"2010|poblacion"
"Sri Lanka";"5500000";"2018|Facebook"
"Bahamas, The";"83,4";"2018|Internet_por"
"Morocco";"64,80386519";"2018|Internet_por"
"Thailand";"56,81748093";"2018|Internet_por"
"Venezuela, RB";"6686300";"2010|Facebook"
"South Africa";"  57779  ";"2018|poblacion"
"Saudi Arabia";"41";"2010|Internet_por"
"Ethiopia";"18,6";"2018|Internet_por"
"Sweden";"6300000";"2018|Facebook"
"Serbia";"40,9";"2010|Internet_por"
"Rwanda";"490000";"2018|Facebook"
"Saudi Arabia";"93,31000185";"2018|Internet_por"
"Belgium";"6500000";"2018|Facebook"
"Ireland";"  4560  ";"2010|poblacion"
"Germany";"89,73912104";"2018|Internet_por"
"Indonesia";"10,92";"2010|Internet_por"
"Estonia";"  1331  ";"2010|poblacion"
"Japan";"1192220";"2010|Facebook"
"Iceland";"99,01095399";"2018|Internet_por"
"United Arab Emirates";"1596160";"2010|Facebook"
"Oman";"  3041  ";"2010|poblacion"
"Bahrain";"  1240  ";"2010|poblacion"
"Venezuela, RB";"  28439  ";"2010|poblacion"
"Serbia";"2064220";"2010|Facebook"
"Bangladesh";"854520";"2010|Facebook"
"Portugal";"  10281  ";"2018|poblacion"
"Argentina";"78";"2018|Internet_por"
"Greece";"2838700";"2010|Facebook"
"Slovenia";"910000";"2018|Facebook"
"Uganda";"  32428  ";"2010|poblacion"
"United States";"125881220";"2010|Facebook"
"Iraq";"49,4";"2018|Internet_por"
"Vietnam";"70,34963558";"2018|Internet_por"
"Serbia";"73,36070915";"2018|Internet_por"
"Chile";"77,5";"2018|Internet_por"
"Lebanon";"3600000";"2018|Facebook"
"Jordan";"86,4";"2018|Internet_por"
"Bahamas, The";"  354  ";"2010|poblacion"
"Venezuela, RB";"53,1";"2018|Internet_por"
"Israel";"  7623  ";"2010|poblacion"
"Nigeria";"49";"2018|Internet_por"
"Oman";"80,2";"2018|Internet_por"
"Norway";"96,49165799";"2018|Internet_por"
"Thailand";"46000000";"2018|Facebook"
"Kuwait";"518540";"2010|Facebook"
"Ethiopia";"130320";"2010|Facebook"
"Hong Kong SAR, China";"5200000";"2018|Facebook"
"Hungary";"  9768  ";"2018|poblacion"
"China";"53";"2018|Internet_por"
"Ukraine";"  45870  ";"2010|poblacion"
"Arab Rep. Egypt";"  98423  ";"2018|poblacion"
"Brazil";"4757200";"2010|Facebook"
"Philippines";"  106651  ";"2018|poblacion"
"Finland";"  5363  ";"2010|poblacion"
"Netherlands";"90,72";"2010|Internet_por"
"France";"82,04353422";"2018|Internet_por"
"Portugal";"  10573  ";"2010|poblacion"
"Russian";"80,86472186";"2018|Internet_por"
"Indonesia";"  241834  ";"2010|poblacion"
"Australia";"15000000";"2018|Facebook"
"Germany";"  82927  ";"2018|poblacion"
"Estonia";"89,35700777";"2018|Internet_por"
"Hong Kong SAR, China";"72";"2010|Internet_por"
"Philippines";"63";"2018|Internet_por"
"Chile";"  18729  ";"2018|poblacion"
"Korea, Rep.";"43000000";"2018|Facebook"
"Israel";"3006460";"2010|Facebook"
"Yemen, Rep.";"96700";"2010|Facebook"
"Tunisia";"36,8";"2010|Internet_por"
"Indonesia";"130000000";"2018|Facebook"
"Slovenia";"  2048  ";"2010|poblacion"
"Pakistan";"  179424  ";"2010|poblacion"
"Iceland";"250000";"2018|Facebook"
"Saudi Arabia";"18000000";"2018|Facebook"
"Rep. Yemen";"  23154  ";"2010|poblacion"
"Belgium";"  10895  ";"2010|poblacion"
"Slovak Republic";"  5447  ";"2018|poblacion"
"Venezuela, RB";"  28870  ";"2018|poblacion"
"Mexico";"31,05";"2010|Internet_por"
"India";"34";"2018|Internet_por"
"Croatia";"1800000";"2018|Facebook"
"Kuwait";"  2991  ";"2010|poblacion"
"Netherlands";"  17231  ";"2018|poblacion"
"Colombia";"36,5";"2010|Internet_por"
"Philippines";"14600300";"2010|Facebook"
"Slovak Republic";"1481000";"2010|Facebook"
"Denmark";"3700000";"2018|Facebook"
"Malta";"63";"2010|Internet_por"
"Ireland";"  4853  ";"2018|poblacion"
"Jordan";"5300000";"2018|Facebook"
"Libya";"  6197  ";"2010|poblacion"
"Nigeria";"17000000";"2018|Facebook"
"Malaysia";"22000000";"2018|Facebook"
"Egypt, Arab Rep.";"35000000";"2018|Facebook"
"Mauritius";"  1265  ";"2018|poblacion"
"Argentina";"10542040";"2010|Facebook"
"Ethiopia";"  87639  ";"2010|poblacion"
"Uzbekistan";"  32955  ";"2018|poblacion"
"France";"18942220";"2010|Facebook"
"Turkey";"39,82";"2010|Internet_por"
"Libya";"14";"2010|Internet_por"
"Spain";"65,8";"2010|Internet_por"
"Austria";"87,71046495";"2018|Internet_por"
"Uzbekistan";"26840";"2010|Facebook"
"Denmark";"  5797  ";"2018|poblacion"
"Israel";"  8883  ";"2018|poblacion"
"Austria";"  8847  ";"2018|poblacion"
"Yemen, Rep.";"2352942";"2018|Facebook"
"Tunisia";"1594700";"2010|Facebook"
"Rep. Yemen";"  28498  ";"2018|poblacion"
"Bangladesh";"3,7";"2010|Internet_por"
"Mauritius";"700000";"2018|Facebook"
"Singapore";"88,16563603";"2018|Internet_por"
"Rwanda";"44340";"2010|Facebook"
"United Arab Emirates";"98,45000178";"2018|Internet_por"
"Switzerland";"  7824  ";"2010|poblacion"
"Turkey";"  82319  ";"2018|poblacion"
"Yemen, Rep.";"26,7";"2018|Internet_por"
"Malta";"163660";"2010|Facebook"
"Qatar";"2300000";"2018|Facebook"
"South Africa";"16000000";"2018|Facebook"
"Turkey";"  72326  ";"2010|poblacion"
"United Kingdom";"94,89674176";"2018|Internet_por"
"Indonesia";"  267663  ";"2018|poblacion"
"Ireland";"69,85";"2010|Internet_por"
"Australia";"88";"2018|Internet_por"
"Belgium";"  11422  ";"2018|poblacion"
"Spain";"10610080";"2010|Facebook"
"Yemen, Rep.";"12,35";"2010|Internet_por"
"Taiwan";"  23.580,08  ";"2018|poblacion"
"Poland";"77,54173454";"2018|Internet_por"
"Brazil";"139000000";"2018|Facebook"
"Morocco";"  36029  ";"2018|poblacion"
"Romania";"39,93";"2010|Internet_por"
"Sweden";"3798020";"2010|Facebook"
"Croatia";"  4089  ";"2018|poblacion"
"Algeria";"19000000";"2018|Facebook"
"Sweden";"92,14167705";"2018|Internet_por"
"Japan";"78,21";"2010|Internet_por"
"Nigeria";"11,5";"2010|Internet_por"
"Norway";"  5314  ";"2018|poblacion"
"Sri Lanka";"  20261  ";"2010|poblacion"
"Uganda";"40,5";"2018|Internet_por"
"Taiwan";"88";"2018|Internet_por"
"Italy";"74,38718292";"2018|Internet_por"
"Canada";"  37058  ";"2018|poblacion"
"Russian";"43";"2010|Internet_por"
"Malaysia";"7317520";"2010|Facebook"
"Lebanon";"  6848  ";"2018|poblacion"
"Australia";"  24992  ";"2018|poblacion"
"Brazil";"40,65";"2010|Internet_por"
"Thailand";"4216760";"2010|Facebook"
"Libya";"  6678  ";"2018|poblacion"
"Germany";"82";"2010|Internet_por"
"Oman";"157440";"2010|Facebook"
"Denmark";"  5547  ";"2010|poblacion"
"South Africa";"54";"2018|Internet_por"
"China";"1800000";"2018|Facebook"
"Japan";"  126529  ";"2018|poblacion"
"Chile";"6944540";"2010|Facebook"
"Hungary";"  10000  ";"2010|poblacion"
"Bangladesh";"57,2";"2018|Internet_por"
"Norway";"93,39";"2010|Internet_por"
"Portugal";"5800000";"2018|Facebook"
"Bahrain";"  1569  ";"2018|poblacion"
"Bahrain";"1100000";"2018|Facebook"
"Vietnam";"  87967  ";"2010|poblacion"
"Greece";"  11121  ";"2010|poblacion"
"Hungary";"65";"2010|Internet_por"
"Pakistan";"  212215  ";"2018|poblacion"
"Canada";"80,3";"2010|Internet_por"
"Slovak Republic";"3200000";"2018|Facebook"
"India";"7,5";"2010|Internet_por"
"Iraq";"225600";"2010|Facebook"
"France";"  65027  ";"2010|poblacion"
"Chile";"  17062  ";"2010|poblacion"
"Pakistan";"35";"2018|Internet_por"
"Ukraine";"  44622  ";"2018|poblacion"
"Korea, Rep.";"  51635  ";"2018|poblacion"
"Mexico";"78000000";"2018|Facebook"
"Lebanon";"962440";"2010|Facebook"
"Germany";"31000000";"2018|Facebook"
"Sri Lanka";"587980";"2010|Facebook"
"Nigeria";"  158503  ";"2010|poblacion"
"Poland";"  38042  ";"2010|poblacion"
"Austria";"3700000";"2018|Facebook"
"Mauritius";"  1250  ";"2010|poblacion"
"Nigeria";"  195874  ";"2018|poblacion"
"Hungary";"5300000";"2018|Facebook"
"Argentina";"30000000";"2018|Facebook"
"Iraq";"17000000";"2018|Facebook"
"Malta";"81,40313252";"2018|Internet_por"
"Romania";"  20246  ";"2010|poblacion"
"Belgium";"88,65506428";"2018|Internet_por"
"China";"34,3";"2010|Internet_por"
"Russian Federation";"  144478  ";"2018|poblacion"
"Iceland";"  318  ";"2010|poblacion"
"Italy";"30000000";"2018|Facebook"
"Morocco";"  32343  ";"2010|poblacion"
"Mauritius";"203700";"2010|Facebook"
"Taiwan";"18000000";"2018|Facebook"
"Norway";"3400000";"2018|Facebook"
"Belgium";"75";"2010|Internet_por"
"Malta";"  483  ";"2018|poblacion"
"Sri Lanka";"  21670  ";"2018|poblacion"
"India";"10547240";"2010|Facebook"
"Korea, Rep.";"2473540";"2010|Facebook"
"India";"  1234281  ";"2010|poblacion"
"Malaysia";"56,3";"2010|Internet_por"
"Bahamas, The";"139460";"2010|Facebook"
"Estonia";"620000";"2018|Facebook"
"Netherlands";"94,71207372";"2018|Internet_por"
"Poland";"2772540";"2010|Facebook"
"Switzerland";"  8516  ";"2018|poblacion"
"Switzerland";"93,7";"2018|Internet_por"
"Brazil";"66";"2018|Internet_por"
"Algeria";"928100";"2010|Facebook"
"France";"  66987  ";"2018|poblacion"
"United States";"240000000";"2018|Facebook"
"Qatar";"  1856  ";"2010|poblacion"
"Qatar";"396860";"2010|Facebook"
"Colombia";"63,2";"2018|Internet_por"
"Switzerland";"3700000";"2018|Facebook"
"Nigeria";"1616120";"2010|Facebook"
"Netherlands";"9800000";"2018|Facebook"
"Denmark";"97,64426813";"2018|Internet_por"
"Singapore";"4300000";"2018|Facebook"
"United Arab Emirates";"  8549  ";"2010|poblacion"
"Bahamas, The";"  385  ";"2018|poblacion"
"Ethiopia";"0,75";"2010|Internet_por"
"Australia";"76";"2010|Internet_por"
"Ukraine";"93,4";"2018|Internet_por"
"Austria";"2084840";"2010|Facebook"
"Mauritania";"20,8";"2018|Internet_por"
"Romania";"8900000";"2018|Facebook"
"Algeria";"  42228  ";"2018|poblacion"
"United States";"  327167  ";"2018|poblacion"
"Singapore";"  5076  ";"2010|poblacion"
"Indonesia";"25912960";"2010|Facebook"
"Bahamas, The";"220000";"2018|Facebook"
"Ireland";"2700000";"2018|Facebook"
"United Arab Emirates";"8700000";"2018|Facebook"
"Malaysia";"  28208  ";"2010|poblacion"
"Serbia";"  7291  ";"2010|poblacion"
"Denmark";"2527000";"2010|Facebook"
"Argentina";"45";"2010|Internet_por"
"Canada";"15497900";"2010|Facebook"
"Libya";"156240";"2010|Facebook"
"Israel";"5800000";"2018|Facebook"
"Singapore";"2226580";"2010|Facebook"
"Lebanon";"43,68";"2010|Internet_por"
"Turkey";"44000000";"2018|Facebook"
"Greece";"5000000";"2018|Facebook"
"Libya";"57,8";"2018|Internet_por"
"Mauritania";"770000";"2018|Facebook"
"Colombia";"10226820";"2010|Facebook"
"Russian Federation";"13100000";"2018|Facebook"
"Jordan";"  9956  ";"2018|poblacion"
"Uganda";"12,5";"2010|Internet_por"
"Denmark";"88,72";"2010|Internet_por"
"Hong Kong SAR, China";"  7024  ";"2010|poblacion"
"Kuwait";"61,4";"2010|Internet_por"
"Spain";"  46723  ";"2018|poblacion"
"Germany";"9949760";"2010|Facebook"
"South Africa";"2884080";"2010|Facebook"
"Jordan";"923400";"2010|Facebook"
"Iceland";"265420";"2010|Facebook"
"Malaysia";"81,20170665";"2018|Internet_por"
"Mauritania";"  4403  ";"2018|poblacion"
"Croatia";"72,68877088";"2018|Internet_por"
"Kuwait";"  4137  ";"2018|poblacion"
"Vietnam";"  95540  ";"2018|poblacion"
"Bahrain";"226480";"2010|Facebook"
"Malta";"  414  ";"2010|poblacion"
"Norway";"2291720";"2010|Facebook"
"Russian Federation";"  142849  ";"2010|poblacion"
"Uganda";"  42723  ";"2018|poblacion"
"Portugal";"53,3";"2010|Internet_por"
"Ethiopia";"  109224  ";"2018|poblacion"
"Croatia";"56,55";"2010|Internet_por"
"Finland";"2700000";"2018|Facebook"
"Netherlands";"  16615  ";"2010|poblacion"
"Egypt, Arab Rep.";"21,6";"2010|Internet_por"
"Sweden";"90";"2010|Internet_por"
"Saudi Arabia";"2267060";"2010|Facebook"
"United Kingdom";"26543600";"2010|Facebook"
"Poland";"  37978  ";"2018|poblacion"
"Thailand";"22,4";"2010|Internet_por"
"Korea, Rep.";"95,8982922";"2018|Internet_por"
"Greece";"  10727  ";"2018|poblacion"
"South Africa";"24";"2010|Internet_por"
"Ethiopia";"4500000";"2018|Facebook"
"Rwanda";"46,8";"2018|Internet_por"
"Uganda";"168720";"2010|Facebook"
"Malaysia";"  31528  ";"2018|poblacion"
"Finland";"  5518  ";"2018|poblacion"
"China";"119480";"2010|Facebook"
"Mauritania";"  3494  ";"2010|poblacion"
"Tunisia";"  10635  ";"2010|poblacion"
"Japan";"93";"2018|Internet_por"
"Korea, Rep.";"83,7";"2010|Internet_por"
"Vietnam";"50000000";"2018|Facebook"
"Croatia";"  4295  ";"2010|poblacion"
"France";"33000000";"2018|Facebook"
"Israel";"67,5";"2010|Internet_por"
"Ireland";"84,52230206";"2018|Internet_por"
"Poland";"14000000";"2018|Facebook"
"Algeria";"12,5";"2010|Internet_por"
"Israel";"81,6";"2018|Internet_por"
"Hong Kong SAR, China";"87";"2018|Internet_por"
"Serbia";"3400000";"2018|Facebook"
"Mauritania";"29600";"2010|Facebook"
"Jordan";"  7261  ";"2010|poblacion"
"Thailand";"  67195  ";"2010|poblacion"
"Hong Kong SAR, China";"  7451  ";"2018|poblacion"
"Pakistan";"32000000";"2018|Facebook"
"Hungary";"76,07436064";"2018|Internet_por"
"Ukraine";"425680";"2010|Facebook"
"Pakistan";"8";"2010|Internet_por"
"Qatar";"99,65284913";"2018|Internet_por"
"Oman";"35,8278";"2010|Internet_por"
"Slovenia";"  2067  ";"2018|poblacion"
"Italy";"53,68";"2010|Internet_por"
"Mauritania";"4";"2010|Internet_por"
"Italy";"  59277  ";"2010|poblacion"
"Estonia";"  1320  ";"2018|poblacion"
"Netherlands";"2644640";"2010|Facebook"
"Hungary";"1455840";"2010|Facebook"
"Sri Lanka";"34,1";"2018|Internet_por"
"Iceland";"  353  ";"2018|poblacion"
"Rwanda";"8";"2010|Internet_por"
"Argentina";"  44494  ";"2018|poblacion"
"Sri Lanka";"12";"2010|Internet_por"
"Taiwan";NA;"2010|Internet_por"
"Lebanon";"  4953  ";"2010|poblacion"
"Austria";"  8363  ";"2010|poblacion"
"Pakistan";"3119440";"2010|Facebook"
"Lebanon";"91,4";"2018|Internet_por"
"Chile";"45";"2010|Internet_por"
"Singapore";"  5638  ";"2018|poblacion"
"Thailand";"  69428  ";"2018|poblacion"
"Iceland";"93,39";"2010|Internet_por"
"Canada";"23000000";"2018|Facebook"
"Poland";"62,32";"2010|Internet_por"
"Austria";"75,17";"2010|Internet_por"
"Singapore";"71";"2010|Internet_por"
"Slovenia";"70";"2010|Internet_por"
"Romania";"1555360";"2010|Facebook"
"Canada";"90";"2018|Internet_por"
"Portugal";"2494540";"2010|Facebook"
"Norway";"  4889  ";"2010|poblacion"
"Bangladesh";"28000000";"2018|Facebook"
"Romania";"70,68127793";"2018|Internet_por"
"Mexico";"  126190  ";"2018|poblacion"
"Egypt, Arab Rep.";"3581460";"2010|Facebook"
"Philippines";"62000000";"2018|Facebook"
"Morocco";"15000000";"2018|Facebook"
"Saudi Arabia";"  27421  ";"2010|poblacion"
"Colombia";"  45222  ";"2010|poblacion"
"Venezuela, RB";"37,37";"2010|Internet_por"
"Russian Federation";"1244280";"2010|Facebook"
"Philippines";"  93966  ";"2010|poblacion"
"Oman";"  4829  ";"2018|poblacion"
"Algeria";"59,57968476";"2018|Internet_por"
"Portugal";"74,66096828";"2018|Internet_por"
"Finland";"1793300";"2010|Facebook"
"Iraq";"  29741  ";"2010|poblacion"
"Serbia";"  6982  ";"2018|poblacion"
"Philippines";"25";"2010|Internet_por"
"Slovenia";"582000";"2010|Facebook"
"Oman";"2630000";"2018|Facebook"
"Japan";"  128070  ";"2010|poblacion"
"Brazil";"  195713  ";"2010|poblacion"
"Libya";"3500000";"2018|Facebook"
"Argentina";"  40788  ";"2010|poblacion"
"Taiwan";"  23.140,95  ";"2010|poblacion"
"Tunisia";"  11565  ";"2018|poblacion"
